Crash ID,County,Community,Primary Road,Intersecting Road,Date,Time,Type,Level,Crash Rpt.
00-258744,Hennepin,Minneapolis,Lake St E,Snelling Av S,2000/08/22,1348,Bicycle,Property Damage Only,
00-258824,Hennepin,Minneapolis,5th St S,Hennepin Av S,2000/08/22,1520,Bicycle,Possible Injury (C),
00-258923,Hennepin,Minneapolis,18th Av NE,Johnson St NE,2000/08/22,1600,Bicycle,Possible Injury (C),
00-258949,Hennepin,Minneapolis,5th St S,11th Av S,2000/08/22,1700,Bicycle,Property Damage Only,
00-259080,Hennepin,Minneapolis,Golden Valley Road N,Morgan Av N,2000/08/22,1854,Bicycle,Possible Injury (C),
00-259785,Hennepin,Minneapolis,17th Av S,Lake St E,2000/08/23,958,Bicycle,Possible Injury (C),
00-260160,Hennepin,Minneapolis,38th St W,Bryant Av S,2000/08/23,1703,Bicycle,Possible Injury (C),
00-260709,Hennepin,Minneapolis,26th St E,Hiawatha Av S,2000/08/24,55,Bicycle,Possible Injury (C),
00-261218,Hennepin,Minneapolis,15th Av N,Fremont Av N,2000/08/24,1458,Bicycle,Possible Injury (C),
00-261284,Hennepin,Minneapolis,15th St W,Willow St S,2000/08/24,1620,Bicycle,Property Damage Only,
00-261526,Hennepin,Minneapolis,Groveland Av W,Lyndale Av S,2000/08/24,2005,Bicycle,Possible Injury (C),
00-262247,Hennepin,Minneapolis,8th St SE,Hennepin Av E,2000/08/25,1115,Bicycle,Property Damage Only,
00-263890,Hennepin,Minneapolis,Golden Valley Road N,Vincent Av N,2000/08/26,2400,Bicycle,Possible Injury (C),
00-264229,Hennepin,Minneapolis,West Broadway Av N,Emerson Av N,2000/08/26,2326,Bicycle,Possible Injury (C),
00-265210,Hennepin,Minneapolis,6th Av SE,8th St SE,2000/08/27,2047,Bicycle,Possible Injury (C),
00-265546,Hennepin,Minneapolis,15th Av SE,University Av SE,2000/08/28,145,Bicycle,Possible Injury (C),
00-267014,Hennepin,Minneapolis,20th Av S,Riverside Av S,2000/08/29,955,Bicycle,Possible Injury (C),
